"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3325","[@regression] TC_001: Add an Event successfully","chromium","Mon Sep 22 21:00:19 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025"," Employee Claims","claim\Claim.spec.js","",""
"","534","Check admin API","chromium","Tue Sep 23 21:26:41 ICT 2025","passed","Tue Sep 23 21:26:42 ICT 2025","","api\LoginApiTest.spec.js","",""
"","3176","[@regression] TC_001: Search System Users with records returns","chromium","Mon Sep 22 21:00:20 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025","Admin Page Tests","admin\Admin.spec.js","",""
"","13068","[@Regression] TC_002: Edit Job Titles","chromium","Sun Oct 12 20:37:45 ICT 2025","passed","Sun Oct 12 20:37:58 ICT 2025","🧾 Job Titles Management","admin\Job.spec.js","",""
"","1970","[@smoke] TC_003: Delete an employee record by ID a new Employee","chromium","Mon Sep 22 21:00:24 ICT 2025","failed","Mon Sep 22 21:00:26 ICT 2025","","pim\pim.spec.js","",""
"","3233","[@smoke] TC_003: Delete an Admin System Users","chromium","Mon Sep 22 21:00:20 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025","","admin\Admin.spec.js","",""
"","744","TC001: Check admin API","chromium","Sun Oct 05 08:24:26 ICT 2025","passed","Sun Oct 05 08:24:27 ICT 2025","","api\LoginApiTest.spec.js","",""
"","12067","[@Regression] TC_001: Create Job Titles","chromium","Mon Oct 06 20:02:35 ICT 2025","passed","Mon Oct 06 20:02:47 ICT 2025","","admin\Job.spec.js","",""
"","10799","[@Regression] TC_002: Edit Job Titles","chromium","Mon Oct 06 20:06:19 ICT 2025","passed","Mon Oct 06 20:06:30 ICT 2025","","admin\Job.spec.js","",""
"","2216","[@smoke] TC_001: Add a new Employee","chromium","Mon Sep 22 21:00:22 ICT 2025","failed","Mon Sep 22 21:00:24 ICT 2025","","pim\pim.spec.js","",""
"","2604","TC002: Access dashboard after login via API","chromium","Sun Oct 05 09:07:28 ICT 2025","passed","Sun Oct 05 09:07:30 ICT 2025","","api\LoginApiTest.spec.js","",""
"","2853","TC003: Practice Intercept functionality in playwright","chromium","Sun Oct 05 09:42:47 ICT 2025","passed","Sun Oct 05 09:42:50 ICT 2025","","api\LoginApiTest.spec.js","",""
"","5353","Access dashboard after login via API","chromium","Tue Sep 23 21:35:57 ICT 2025","passed","Tue Sep 23 21:36:03 ICT 2025","","api\LoginApiTest.spec.js","",""
"","4368","API Test Case 1: Get User Details","chromium","Mon Sep 22 21:00:19 ICT 2025","failed","Mon Sep 22 21:00:24 ICT 2025","","api\WebAPIPart1.spec.js","",""
"","3374","TC_001: Search Employee Claims successfully","chromium","Mon Sep 22 21:00:19 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025","[@regression] Employee Claims","employee\employee.spec.js","",""
"","30238","[@Regression] TC_003: Delete A Job Titles","chromium","Sun Oct 12 20:37:45 ICT 2025","broken","Sun Oct 12 20:38:15 ICT 2025","🧾 Job Titles Management","admin\Job.spec.js","",""
"","5871","[@Regression] TC_00: Edit Job Titles","chromium","Mon Oct 06 19:56:50 ICT 2025","failed","Mon Oct 06 19:56:56 ICT 2025","","admin\Job.spec.js","",""
"","11360","[@Regression] TC_001: Create Job Titles","chromium","Sun Oct 12 20:37:45 ICT 2025","passed","Sun Oct 12 20:37:57 ICT 2025","🧾 Job Titles Management","admin\Job.spec.js","",""
"","2035","[@smoke] TC_002: Verify the information of the newly added employee","chromium","Mon Sep 22 21:00:24 ICT 2025","failed","Mon Sep 22 21:00:26 ICT 2025","Using newly added employee Information ","pim\pim.spec.js","",""
"","8714","[@Regression] TC_003: Delete A Job Titles","chromium","Mon Oct 06 20:12:37 ICT 2025","passed","Mon Oct 06 20:12:46 ICT 2025","","admin\Job.spec.js","",""
"","1185","@SP Place the order","chromium","Mon Sep 22 21:00:19 ICT 2025","failed","Mon Sep 22 21:00:21 ICT 2025","","api\userAPI.spec.js","",""
"Upload và chỉnh sửa file Excel trong trang My Info","2890","TC_001: Verify Excel upload & update","chromium","Mon Sep 22 21:00:20 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025","Update Personal Details in My Info","myInfo\update_personal_details.spec.js","",""
"","3044","[@smoke] TC_002: Add a new System Users","chromium","Mon Sep 22 21:00:20 ICT 2025","failed","Mon Sep 22 21:00:23 ICT 2025","","admin\Admin.spec.js","",""
"","8415","[@Smoke] TC_002: Add an Event through DB","chromium","Mon Oct 06 09:24:17 ICT 2025","passed","Mon Oct 06 09:24:25 ICT 2025"," Employee Claims","claim\Claim.spec.js","",""
